network,bn_size_config,transaction_type,transaction_hash,gas_used,block_number,claim_id,profile,notes
Sepolia,4,CPTStore_init,f5589d89eaa1c51dd47bf71863b16507a24aeed5943e4d4bf6a52bc9c5e875b5,96205,11032657,,neutral,"setEvidenceCPT(3,0,1)"
Sepolia,4,CPTStore_init,d6a6c9e77c71fd247dbd9727b688f917c7d01549c142b75e6bb1b1876ae1143d,96205,11032658,,neutral,"setEvidenceCPT(3,1,0)"
Sepolia,4,CPTStore_init,e5fea0676806bbfade39f158b5d16905a7f06f0467be8bc5d5e1fe1dfc2767b7,96217,11032659,,neutral,"setEvidenceCPT(3,1,1)"
Sepolia,4,CPTStore_init,b37b53289587c9cd057875ce6f2a059f9cc7f51c4562594956172d94ffce0743,80726,11032660,,asymmetric,setPriors
Sepolia,4,CPTStore_init,9865b6a1357583040a03c6b6b0a6f66a0d848d41c322ff52689fc44b976ea91d,79195,11032661,,asymmetric,"setEvidenceCPT(0,1,0)"
Sepolia,4,CPTStore_init,b0dc82abfcc26d85425979608955623d6178d465682504c048f627e7ea005f1f,79195,11032662,,asymmetric,"setEvidenceCPT(0,0,1)"
Sepolia,4,CPTStore_init,136860f95ee3c4ad43f7f7105192b7c4d741bd623fb58136cad8b7aba53d6991,79195,11032663,,asymmetric,"setEvidenceCPT(0,1,1)"
Sepolia,4,CPTStore_init,c4f03540adc00bb4aac69872ce0403acbc8f1e214770415cf944b76ebd848066,79185,11032664,,asymmetric,"setEvidenceCPT(0,0,0)"
Sepolia,4,CPTStore_init,047d3392501241a8ec1ab43ee008fd53d5908c158aeb2efd57d12a24860d8028,79204,11032665,,asymmetric,"setEvidenceCPT(1,1,0)"
Sepolia,4,CPTStore_init,cd8232dfb50b13868906b62a5cf29ab8a96931b25f744e6b20b2b1eb89e1186f,79204,11032666,,asymmetric,"setEvidenceCPT(1,0,1)"
Sepolia,4,CPTStore_init,179ade5ba135f13783fd438c8028fdcb819a1d1f26c9ee500cbceefb099d3900,79214,11032667,,asymmetric,"setEvidenceCPT(1,1,1)"
Sepolia,4,CPTStore_init,abf58801b44b8d37b6c12c977b232e041fcf7a8f05cc970314c49650259a9e3f,79195,11032668,,asymmetric,"setEvidenceCPT(1,0,0)"
Sepolia,4,CPTStore_init,a7c051fd01bf480eb985786636d3c387d940197b8d05dba37c7b22aebcf2157c,79204,11032669,,asymmetric,"setEvidenceCPT(2,1,0)"
Sepolia,4,CPTStore_init,187bf64b12adc51462565c5502bc2b6ce990f23ef98b740898af9fdc60a28e9c,79204,11032670,,asymmetric,"setEvidenceCPT(2,0,1)"
Sepolia,4,CPTStore_init,729d3fad1cff47b3bf3b230538ce01457d9e1038e12b09eabc67bdcdb5367a1a,79214,11032671,,asymmetric,"setEvidenceCPT(2,1,1)"
Sepolia,4,CPTStore_init,78d7504e029520ec412b7b77f25aa0fb0a4b67a0ffaf9109acda95479edf1f36,79195,11032672,,asymmetric,"setEvidenceCPT(2,0,0)"
Sepolia,4,CPTStore_init,683b2d9f280abd6b9037ef35f7ac5e203723048e8a2be59b8b477c55744a81fd,79195,11032673,,asymmetric,"setEvidenceCPT(3,1,0)"
Sepolia,4,CPTStore_init,1e1e72f620f0e264e6dfabf6d6d4f878cd2a6f69e78c1334bb2a09acd63cbc9e,79204,11032674,,asymmetric,"setEvidenceCPT(3,0,1)"
Sepolia,4,CPTStore_init,8ef8f79a620ba6a04e06831ed1226663838bab12d88441e00214aa94ae910208,79214,11032675,,asymmetric,"setEvidenceCPT(3,1,1)"
Sepolia,4,CPTStore_init,a5e46450eea630f8e3cf16be382a744bb590f95e7d8c210054cb44ab1eaf0de2,79195,11032676,,asymmetric,"setEvidenceCPT(3,0,0)"
Sepolia,4,openClaim,b996d3c3f43fc4126fa8ecd7b199b43051c3fec10cb5938187d5b9cc0c5fb63f,196136,11032694,1,neutral,run_0
Sepolia,4,submitInference,c332c3487c00d7a2f17e0b30dc216b1ea43148f9e9ab80271deebaeeeef01ee5,242399,11032695,1,neutral,run_0_snap_11032694
Sepolia,4,openClaim,3d8441451a5c7a36afb3291a9ee108b5d242bb48b93ef679a38b04d2db05c4e5,196112,11032696,2,neutral,run_1
Sepolia,4,submitInference,434126dc9e8bc22ef98aac2f82c9c9d5e5d045eb5d5a80b1d53010cf96753f18,242399,11032697,2,neutral,run_1_snap_11032696
Sepolia,4,openClaim,1ffd661a01feaf2cec5dd07dd813bcfb82f087a21e2d082cafe87f29f8be69e6,196136,11032698,3,neutral,run_2
Sepolia,4,submitInference,095f5904a74fbe649507d468d5695c5d34d66047a44999a488196c1f1605173f,242399,11032699,3,neutral,run_2_snap_11032697
